repo,total_classes,cbo_mean,cbo_median,cbo_std,cbo_min,cbo_max,cbo_q1,cbo_q3,dit_mean,dit_median,dit_std,dit_min,dit_max,dit_q1,dit_q3,lcom_mean,lcom_median,lcom_std,lcom_min,lcom_max,lcom_q1,lcom_q3
square/android-times-square,47,4.553,4.0,5.656,0,27,1.0,5.0,1.234,1.0,0.598,1,4,1.0,1.0,25.872,0.0,134.509,0,921,0.0,0.0
dreamhead/moco,577,5.82,5.0,5.758,0,71,2.0,8.0,1.539,1.0,0.853,1,7,1.0,2.0,34.657,1.0,360.831,0,7748,0.0,3.0
water8394/flink-recommandSystem-demo,77,3.727,3.0,3.779,0,16,1.0,5.0,1.078,1.0,0.27,1,2,1.0,1.0,6.403,1.0,15.621,0,88,0.0,3.0
Tencent/GT,1050,3.903,2.0,5.139,0,49,1.0,5.0,1.295,1.0,0.66,1,6,1.0,1.0,13.67,0.0,80.569,0,1793,0.0,1.0
jacoco/jacoco,940,4.259,3.0,4.442,0,38,1.0,6.0,1.432,1.0,0.697,1,7,1.0,2.0,12.623,0.0,80.034,0,1498,0.0,3.0
IoT-Technology/IoT-Technical-Guide,294,4.085,3.0,4.327,0,27,1.0,5.0,1.248,1.0,0.492,1,4,1.0,1.0,3.163,0.0,12.064,0,128,0.0,1.0
airbnb/DeepLinkDispatch,25,6.28,5.0,5.248,0,19,2.0,8.0,1.48,1.0,0.51,1,2,1.0,2.0,88.64,0.0,256.627,0,977,0.0,1.0
Freeyourgadget/Gadgetbridge,4395,5.38,3.0,8.631,0,272,1.0,7.0,1.834,2.0,1.443,1,55,1.0,2.0,38.694,0.0,335.389,0,9316,0.0,6.0
apache/shiro,1024,5.024,3.0,5.21,0,39,1.0,7.0,1.786,1.0,1.611,1,11,1.0,2.0,19.72,1.0,80.232,0,1344,0.0,6.0
robinhood/ticker,31,4.613,4.0,4.759,0,26,2.0,6.0,1.323,1.0,0.702,1,4,1.0,1.0,27.613,0.0,110.131,0,611,0.0,5.5
flutter-webrtc/flutter-webrtc,90,6.633,3.0,11.485,0,72,1.0,7.0,1.222,1.0,0.683,1,5,1.0,1.0,36.656,0.0,211.177,0,1512,0.0,3.0
